Manufacturer,Model.Name,Category,Screen,CPU,Storage,GPU,Operating.System,Weight,Price,CPU.Speed,Storage.Type,GPU.Rank,Storage.Size,RAM.Size,Screen.Size,Category.Type,GPU.Speed
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,1339.69,2.3,1,698,128,8,33.782,2,1939
Apple,Macbook Air,Ultrabook,1440x900,Intel Core i5 1.8GHz,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,898.94,1.8,1,934,128,8,33.782,2,1703
HP,250 G6,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,No OS,1.86,575,2.5,1,885,256,8,39.624,1,1752
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,512GB SSD,AMD Radeon Pro 455,macOS,1.83,2537.45,2.7,1,359,512,16,39.116,2,2278
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,1803.6,3.1,1,590,256,8,33.782,2,2047
Acer,Aspire 3,Notebook,1366x768,AMD A9-Series 9420 3GHz,500GB HDD,AMD Radeon R5,Windows,2.1,400,3,0,832,500,4,39.624,1,1805
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS,2.04,2139.97,2.2,1,675,256,16,39.116,2,1962
Apple,Macbook Air,Ultrabook,1440x900,Intel Core i5 1.8GHz,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,1158.7,1.8,1,934,256,8,33.782,2,1703
Asus,ZenBook UX430UN,Ultrabook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,512GB SSD,Nvidia GeForce MX150,Windows,1.3,1495,1.8,1,469,512,16,35.56,2,2168
Acer,Swift 3,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.6,770,1.6,1,809,256,8,35.56,2,1828
HP,250 G6,Notebook,1366x768,Intel Core i5 7200U 2.5GHz,500GB HDD,Intel HD Graphics 620,No OS,1.86,393.9,2.5,0,885,500,4,39.624,1,1752
HP,250 G6,Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,500GB HDD,Intel HD Graphics 520,No OS,1.86,344.99,2,0,921,500,4,39.624,1,1716
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,256GB SSD,AMD Radeon Pro 555,macOS,1.83,2439.97,2.8,1,357,256,16,39.116,2,2280
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,256GB SSD,AMD Radeon R5 M430,Windows,2.2,498.9,2,1,1117,256,4,39.624,1,1520
